ATT1,ATT2,ATT3,SN1,SN2,SN3,PBC1,PBC2,INF1,INF2,INF3,INF4,INF5,SR1,SR2,SR3,SR4,SR5,SR6,SR7,EOT1,EOT2,EOT3,ENV1,ENV2,ENV3,ENV4,cycling_stage,Age_young,sex_male,Distance_less,Income_low,Primary_mode
4,4,4,4,3,2,4,2,2,4,4,4,2,4,1,3,2,3,2,4,5,3,4,5,4,5,2,2,1,0,1,0,0
5,4,5,2,1,1,3,1,2,2,2,1,3,1,2,2,2,4,3,4,1,2,2,4,3,4,2,2,0,0,1,1,0
5,5,3,2,3,2,3,2,1,2,1,2,1,3,1,2,2,3,4,5,3,1,2,5,4,5,4,2,1,0,1,0,0
5,5,5,2,2,2,4,2,2,2,2,2,3,4,2,2,4,2,4,5,2,1,4,5,4,4,1,2,1,1,1,1,0
5,4,4,2,2,3,3,2,2,2,2,4,2,4,2,2,4,2,4,4,4,4,4,5,4,4,2,2,0,1,1,0,0
5,5,5,4,1,2,5,3,1,2,2,2,1,4,2,3,2,2,3,4,3,1,3,5,5,5,3,2,1,1,1,1,0
5,5,5,5,1,5,2,2,4,3,3,5,2,4,4,2,2,3,5,5,5,5,5,2,2,5,2,2,0,0,1,1,0
5,5,5,1,1,1,4,2,2,1,2,3,1,3,1,4,2,3,4,5,5,1,4,5,5,4,3,2,1,1,1,1,0
5,5,5,5,1,2,5,3,1,1,1,2,2,2,2,2,2,2,4,5,2,1,1,4,4,2,2,2,1,1,1,0,0
5,5,5,5,1,5,5,4,2,2,2,2,2,2,5,3,3,3,4,5,5,3,2,4,3,5,3,2,1,1,1,1,0
4,3,3,2,1,2,4,3,2,2,3,4,4,4,3,2,2,2,2,4,4,2,2,4,4,4,3,2,1,1,0,0,0
5,5,5,2,1,2,4,2,2,2,2,2,4,4,2,2,2,2,4,5,4,2,4,5,5,5,2,2,0,1,0,1,0
4,4,4,2,1,4,2,1,2,2,2,3,3,2,1,2,2,2,4,4,4,4,2,4,4,4,4,2,1,0,0,1,0
4,4,4,1,1,1,5,3,2,2,2,3,2,2,2,1,4,3,4,5,4,1,4,4,5,2,1,2,1,1,1,1,0
5,5,5,4,1,3,5,3,2,4,4,1,1,4,3,2,4,1,4,5,4,4,4,3,4,5,1,2,1,1,0,1,0
4,2,2,2,2,4,2,2,2,4,2,2,4,4,1,2,2,3,4,4,4,4,4,4,4,4,2,2,1,0,0,1,0
3,3,5,1,1,2,3,1,1,1,1,1,2,1,1,1,2,2,5,2,1,1,2,3,3,3,1,2,1,1,0,1,0
4,5,4,3,1,3,5,3,1,1,1,2,2,4,1,2,2,1,5,5,4,4,4,4,4,5,5,2,1,1,0,1,0
5,5,4,2,1,3,5,2,1,3,2,2,1,2,4,2,4,2,5,5,4,1,1,5,2,5,4,2,1,0,0,1,0
4,5,5,3,1,1,4,2,2,3,2,2,2,3,2,4,4,2,4,4,2,2,4,5,4,5,3,2,1,1,0,0,0
5,5,5,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,3,5,3,1,3,5,5,5,3,2,1,0,0,0,0
5,5,5,3,1,3,1,1,3,4,3,4,4,5,2,1,3,4,4,5,5,2,2,5,3,5,4,2,1,0,1,1,0
5,4,4,1,1,2,4,2,1,2,1,2,1,2,1,1,1,1,5,4,2,2,1,5,4,5,2,2,0,1,0,1,0
5,1,5,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,4,5,5,1,1,5,5,5,3,2,1,1,0,0,0
5,4,5,2,2,4,2,1,2,2,2,4,2,5,2,2,4,2,4,5,2,3,4,5,4,4,2,2,1,1,1,1,0
